name,state,par_mean,par_median
"Concordia University of Irvine, CA",CA,131138.3081208541,94000
"Concordia University of Portland, OR",OR,102064.7882906063,88400
"Concordia University of River Forest, IL",IL,98720.00334996088,86300
"Concordia University of Seward, NE",NE,86492.41057814486,75500
Connecticut College,CT,417732.2939665592,170500
Connors State College,OK,56276.33400923295,49000
Conservatory Of Recording Arts & Sciences,AZ,95241.25,76800
Contra Costa Community College District,CA,108743.3619157828,85400
Converse College,SC,122906.4331716954,93000
Cooper Union For The Advancement Of Science & Art ,NY,143460.5723888624,110100
Copiah-Lincoln Community College,MS,55632.91145833334,41400
Copper Mountain College,CA,67192.23472142585,50100
Corban University,OR,106438.4745807927,79000
Cornell College,IA,117782.6171875,91800
Cornell University,NY,279239.9711559315,143300
Cornerstone University,MI,115400.1175476811,84200
Corning Community College - SUNY Office Of Community Colleges,NY,74179.11330654487,65200
Cornish College Of The Arts,WA,151934.4375,89700
Cossatot Community College Of The University Of Arkansas,AR,51799.03026194853,40800
County College Of Morris,NJ,117864.2682291667,101100
Covenant College,GA,146452.9558555825,86400
Cowley County Community College & Area Vocational Technical Schoo,KS,78036.83513630045,75300
Coyne College,IL,57621.94105747768,44200
Craven Community College,NC,64038.11857510152,57200
Creighton University,NE,184670.7760416666,119200
Crimson Technical College,CA,47183.26171875,44700
Crowder College,MO,58819.77191933819,51100
Crown College,MN,82883.52281688084,73500
Cuesta College,CA,107517.488904146,79900
Culinary Institute Of America,NY,137637.9390105148,102800
Culver-Stockton College,MO,85740.02113439306,78600
Cumberland County College,NJ,69802.91072728008,59900
Cumberland University,TN,81696.70611921806,68800
Curry College,MA,167527.8339881823,101600
Cuyahoga Community College,OH,70341.45572916667,57500
D G Erwin Technical Center,FL,54144.92347977204,42500
D'Youville College,NY,77711.34280669504,75800
Dabney S Lancaster Community College,VA,67210.58771306818,63200
Daemen College,NY,89060.24740275931,77600
Dakota College At Bottineau,ND,63575.5395916718,54900
Dallas Baptist University,TX,105931.1372716485,87000
Dallas County Community College District,TX,81900.61261606024,59200
Dalton State College,GA,76413.55133308245,63500
Daniel Webster College,NH,160458.8372767857,93800
Danville Area Community College,IL,69816.33183878384,61100
Danville Community College,VA,66177.91531867067,59800
Dartmouth College,NH,469593.6289533133,185500
Darton State College,GA,73677.21855413106,63200
Davenport University,MI,69110.9435123595,55800
Davidson College,NC,493919.2600264658,208500
Davidson County Community College,NC,68937.28665712469,60000
Davis & Elkins College,WV,97471.96683495822,68000
Davis Applied Technology College,UT,89998.14108646373,78400
Dawson Community College,MT,61527.72998182133,58000
Daytona State College,FL,67913.38328806788,52400
DePauw University,IN,218739.5379478503,117700
DeSales University,PA,126097.4244791667,98800
Dean College,MA,131190.3212754555,91400
Defiance College,OH,86515.04947916667,77900
Del Mar College,TX,64100.71885144324,52900
Delaware County Community College,PA,96664.11132773288,80800
Delaware Technical Community College - Owens Campus,DE,78604.88015849283,64600
"Delaware Technical Community College of Dover, DE",DE,74277.111133658,69900
"Delaware Technical Community College of Wilmington, DE",DE,92159.32606933292,82100
